DATE_COL,SITE_ID,LATITUDE,LONGITUDE,SPRAYED,SPONGY_EGGS,SPONGY_LARVAE,SPONGY_ADULTS,PH,CONDUCTIVITY_μS,TEMPERATURE_C,DEPTH_CM,LENGTH_M,WIDTH_M,PCT_CANOPY_COVER
05/11/2023,SPRL_1,41.103806,-77.988083,FALSE,TRUE,FALSE,FALSE,5.72,66.3,22.1,45,24.3,21.2,40.2
05/11/2023,SPRL_3,41.159775,-77.899456,FALSE,TRUE,FALSE,FALSE,4.82,41.7,18.3,20,11.56,24.1,32.14
05/11/2023,MSHN_1,40.845951,-78.097878,FALSE,FALSE,FALSE,FALSE,6.04,23.2,20.3,40,23.97,10.67,55.28
05/11/2023,MSHN_2,40.935831,-78.032284,FALSE,TRUE,FALSE,FALSE,7.17,64.2,23,35,17.8,19.05,81.28
05/11/2023,MSHN_3,40.94993,-78.002096,FALSE,TRUE,TRUE,FALSE,4.72,25.2,22.1,25,17.7,6.65,38.38
05/12/2023,BDEG_1,40.799645,-77.512437,FALSE,TRUE,TRUE,FALSE,4.53,23.4,23.1,11,7.7,5.2,76.86
05/12/2023,BDEG_2,40.800813,-77.506195,FALSE,TRUE,TRUE,FALSE,4.58,24.7,19.2,30,26.9,12.9,83.1
05/12/2023,BDEG_3,40.803684,-77.499264,FALSE,TRUE,TRUE,FALSE,4.5,26.5,18.2,21.5,21.32,10.72,65.94
05/15/2023,SPRL_1,41.103806,-77.988083,FALSE,TRUE,FALSE,FALSE,5.5,135,17.2,38,20.3,20.05,52.16
05/15/2023,SPRL_3,41.159775,-77.899456,FALSE,FALSE,FALSE,FALSE,4.67,16.2,15.2,17,21.58,20.84,44.88
05/16/2023,MSHN_1,40.845951,-78.097878,FALSE,FALSE,FALSE,FALSE,6.49,22.2,16.1,31,21.59,11.17,52.16
05/16/2023,MSHN_2,40.935831,-78.032284,FALSE,FALSE,FALSE,FALSE,6.13,60,14.4,31,18.36,20.88,92.2
05/16/2023,MSHN_3,40.94993,-78.002096,FALSE,TRUE,TRUE,FALSE,4.9,20.8,14.8,9,15.36,5.65,61
05/17/2023,BDEG_1,40.799645,-77.512437,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,87
05/17/2023,BDEG_2,40.800813,-77.506195,FALSE,TRUE,TRUE,FALSE,4.66,36.2,13,33,26.8,13.65,90.29
05/17/2023,BDEG_3,40.803684,-77.499264,FALSE,TRUE,TRUE,FALSE,4.64,21.1,12.1,19,22.13,10.12,60.74
05/22/2023,SPRL_1,41.103806,-77.988083,FALSE,TRUE,TRUE,FALSE,7.28,272,21,10,15.02,12.66,49.565
05/22/2023,SPRL_3,41.159775,-77.899456,FALSE,TRUE,TRUE,FALSE,4.68,44.4,15.6,10,17.05,14.92,30.32
05/23/2023,MSHN_1,40.845951,-78.097878,FALSE,FALSE,FALSE,FALSE,6.87,12.7,21.3,19,18.9,9.7,42.02
05/23/2023,MSHN_2,40.935831,-78.032284,FALSE,TRUE,TRUE,FALSE,7.39,37.8,17.1,26.5,15.2,13.5,74.77
