SITE_ID,TARGET_TAXON,TOTAL
BDEG_2,Chauliodes,1
BDEG_2,Chauliodes,1
BDEG_2,Aedes,1
BDEG_2,Enochrus,1
BDEG_2,Sminthurus,1
BDEG_2,Aeshna,1
BDEG_2,Aeshna,1
BDEG_2,Aeshna,1
BDEG_2,Aeshna,1
BDEG_2,Aeshna,1
BDEG_2,Aeshna,1
BDEG_2,Oligochaeta,1
BDEG_2,Gerris,1
BDEG_2,Scirtidae,1
BDEG_2,Lesteva,1
BDEG_2,Lesteva,1
BDEG_2,Chironomini,1
BDEG_3,Ilybius,1
BDEG_3,Chauliodes,1
BDEG_3,Chauliodes,1
BDEG_3,Ilybius,1
BDEG_3,Ilybius,1
BDEG_3,Aedes,1
BDEG_3,Hydroporinae,1
BDEG_3,Sminthurus,1
BDEG_3,Sminthurus,1
BDEG_3,Sminthurus,1
BDEG_3,Gerridae,1
BDEG_3,Gerridae,1
BDEG_3,Aeshna,1
BDEG_3,Aeshna,1
BDEG_3,Aeshna,1
BDEG_3,Aeshna,1
BDEG_3,Aeshna,1
BDEG_3,Scirtidae,1
BDEG_3,Scirtidae,1
BDEG_3,Scirtidae,1
BDEG_3,Scirtidae,1
BDEG_3,Scirtidae,1
BDEG_3,Scirtidae,1
BDEG_3,Scirtidae,1
BDEG_3,Scirtidae,1
BDEG_3,Scirtidae,1
BDEG_3,Scirtidae,1
BDEG_3,Scirtidae,1
BDEG_3,Scirtidae,1
BDEG_3,Scirtidae,1
BDEG_3,Scirtidae,1
BDEG_3,Scirtidae,1
BDEG_3,Chaoboridae,1
BDEG_3,Chironomini,1
BDEG_3,Chironomini,1
BDEG_3,Chironomini,1
BDEG_3,Chironomini,1
BDEG_3,Chironomini,1
BDEG_3,Chironomini,1
BDEG_3,Chironomini,1
BDEG_3,Chironomini,1
BDEG_3,Chironomini,1
BDEG_3,Gerridae,1
BDEG_3,Chauliodes,1
MSHN_1,Brychius,1
MSHN_1,Aeshna,1
MSHN_1,Agabinae,1
MSHN_1,Aedes,1
MSHN_1,Aedes,1
MSHN_1,Acilius,1
MSHN_1,Neoporus,1
MSHN_1,Hydroporus,1
MSHN_1,Chaoboridae,1
MSHN_1,Diptera,1
MSHN_1,Aedes,1
MSHN_1,Aedes,1
MSHN_1,Aedes,1
MSHN_1,Diptera,1
MSHN_1,Aedes,1
MSHN_1,Aedes,1
MSHN_1,Diptera,1
MSHN_1,Diptera,1
MSHN_1,Gerris,1
MSHN_1,Neoporus,1
MSHN_1,Laccophilus,1
MSHN_1,Hirudinea,1
MSHN_1,Hirudinea,1
MSHN_1,Dytiscus,1
MSHN_1,Acilius,1
MSHN_1,Limnephilus,1
MSHN_1,Limnephilus,1
MSHN_1,Oligochaeta,12
MSHN_1,Oligochaeta,6
MSHN_1,Limnephiloidea,1
MSHN_1,Dytiscidae,1
MSHN_1,Culex,1
MSHN_1,Agabinae,1
MSHN_1,Aedes,1
MSHN_1,Aedes,1
MSHN_1,Lesteva,1
MSHN_1,Anopheles,1
MSHN_1,Anopheles,1
MSHN_1,Anopheles,1
MSHN_1,Anopheles,1
MSHN_1,Anopheles,1
MSHN_1,Aedes,1
MSHN_1,Enochrus,1
MSHN_1,Enochrus,1
MSHN_1,Enochrus,1
MSHN_1,Enochrus,1
MSHN_1,Enochrus,1
MSHN_1,Enochrus,1
MSHN_1,Enochrus,1
MSHN_1,Enochrus,1
MSHN_1,Enochrus,1
MSHN_1,Enochrus,1
MSHN_1,Notonecta,1
MSHN_1,Notonecta,1
MSHN_1,Notonecta,1
MSHN_1,Notonecta,1
MSHN_1,Notonecta,1
MSHN_1,Notonecta,1
MSHN_1,Notonecta,1
MSHN_1,Notonecta,1
MSHN_1,Gerris,1
MSHN_1,Gerridae,1
MSHN_1,Gerridae,1
MSHN_1,Gerridae,1
MSHN_1,Gerridae,1
MSHN_1,Gerridae,1
MSHN_1,Gerridae,1
MSHN_1,Peltodytes,1
MSHN_1,Hirudinea,3
MSHN_1,Oligochaeta,70
MSHN_1,Anopheles,1
MSHN_1,Agabinae,1
MSHN_1,Liodessus,1
MSHN_1,Hydroporus,1
MSHN_1,Dytiscus,1
MSHN_1,Dytiscus,1
MSHN_1,Tanypodinae,1
MSHN_1,Tanypodinae,1
MSHN_1,Chironomini,1
MSHN_1,Tanypodinae,1
MSHN_1,Tanypodinae,1
MSHN_1,Tanypodinae,1
MSHN_1,Tanypodinae,1
MSHN_1,Tanypodinae,1
MSHN_1,Tanypodinae,1
