WEEK_COL,SITE_ID,LATITUDE,LONGITUDE,TARGET_TAXON,TOTAL,LIFE_STAGE
WEEK_2,MSHN_2,40.93583,-78.032284,Gerris,1,Adult
WEEK_2,MSHN_2,40.93583,-78.032284,Acilius,1,Adult
WEEK_2,MSHN_2,40.93583,-78.032284,Dytiscus,1,Larvae
WEEK_2,MSHN_1,40.84595,-78.097878,Brychius,1,Adult
WEEK_2,MSHN_2,40.93583,-78.032284,Hydroporinae,1,Larvae
WEEK_2,MSHN_1,40.84595,-78.097878,Aeshna,1,Naiad
WEEK_2,MSHN_2,40.93583,-78.032284,Neoporus,1,Adult
WEEK_2,MSHN_2,40.93583,-78.032284,Enochrus,1,Adult
WEEK_2,MSHN_3,40.94993,-78.002096,Limnephilus,1,Larvae
WEEK_2,MSHN_1,40.84595,-78.097878,Neoporus,1,Adult
WEEK_2,MSHN_1,40.84595,-78.097878,Hydroporus,1,Adult
WEEK_2,MSHN_1,40.84595,-78.097878,Chaoboridae,1,Pupa
WEEK_2,MSHN_1,40.84595,-78.097878,Diptera,1,Pupa
WEEK_2,MSHN_1,40.84595,-78.097878,Aedes,1,Larvae
WEEK_2,MSHN_1,40.84595,-78.097878,Aedes,1,Larvae
WEEK_2,MSHN_1,40.84595,-78.097878,Aedes,1,Larvae
WEEK_2,MSHN_1,40.84595,-78.097878,Diptera,1,Larvae
WEEK_2,MSHN_1,40.84595,-78.097878,Aedes,1,Larvae
WEEK_2,MSHN_1,40.84595,-78.097878,Aedes,1,Larvae
WEEK_2,MSHN_1,40.84595,-78.097878,Diptera,1,Pupa
WEEK_2,MSHN_1,40.84595,-78.097878,Diptera,1,Pupa
WEEK_2,MSHN_1,40.84595,-78.097878,Gerris,1,Larvae
WEEK_2,MSHN_1,40.84595,-78.097878,Laccophilus,1,Adult
WEEK_2,MSHN_1,40.84595,-78.097878,Dytiscus,1,Larvae
WEEK_2,MSHN_2,40.93583,-78.032284,Aeshna,1,Larvae
WEEK_2,MSHN_2,40.93583,-78.032284,Aeshna,1,Larvae
WEEK_2,MSHN_2,40.93583,-78.032284,Enochrus,1,Adult
WEEK_2,MSHN_2,40.93583,-78.032284,Enochrus,1,Adult
