WEEK_COL,SITE_ID,LATITUDE,LONGITUDE,TARGET_TAXON,TOTAL
WEEK_2,MSHN_2,40.93583,-78.032284,Gerris,1
WEEK_2,MSHN_2,40.93583,-78.032284,Acilius,1
WEEK_2,MSHN_2,40.93583,-78.032284,Dytiscus,1
WEEK_2,MSHN_1,40.84595,-78.097878,Brychius,1
WEEK_2,MSHN_2,40.93583,-78.032284,Hydroporinae,1
WEEK_2,MSHN_1,40.84595,-78.097878,Aeshna,1
WEEK_2,MSHN_2,40.93583,-78.032284,Neoporus,1
WEEK_2,MSHN_2,40.93583,-78.032284,Enochrus,1
WEEK_2,MSHN_3,40.94993,-78.002096,Limnephilus,1
WEEK_2,MSHN_1,40.84595,-78.097878,Neoporus,1
WEEK_2,MSHN_1,40.84595,-78.097878,Hydroporus,1
WEEK_2,MSHN_1,40.84595,-78.097878,Chaoboridae,1
WEEK_2,MSHN_1,40.84595,-78.097878,Diptera,1
WEEK_2,MSHN_1,40.84595,-78.097878,Aedes,1
WEEK_2,MSHN_1,40.84595,-78.097878,Aedes,1
WEEK_2,MSHN_1,40.84595,-78.097878,Aedes,1
WEEK_2,MSHN_1,40.84595,-78.097878,Diptera,1
WEEK_2,MSHN_1,40.84595,-78.097878,Aedes,1
WEEK_2,MSHN_1,40.84595,-78.097878,Aedes,1
WEEK_2,MSHN_1,40.84595,-78.097878,Diptera,1
WEEK_2,MSHN_1,40.84595,-78.097878,Diptera,1
WEEK_2,MSHN_1,40.84595,-78.097878,Gerris,1
WEEK_2,MSHN_1,40.84595,-78.097878,Laccophilus,1
WEEK_2,MSHN_1,40.84595,-78.097878,Dytiscus,1
WEEK_2,MSHN_2,40.93583,-78.032284,Aeshna,1
WEEK_2,MSHN_2,40.93583,-78.032284,Aeshna,1
WEEK_2,MSHN_2,40.93583,-78.032284,Enochrus,1
WEEK_2,MSHN_2,40.93583,-78.032284,Enochrus,1
WEEK_2,MSHN_2,40.93583,-78.032284,Enochrus,1
WEEK_2,MSHN_1,40.84595,-78.097878,Acilius,1
WEEK_2,MSHN_3,40.94993,-78.002096,Aedes,1
WEEK_2,MSHN_3,40.94993,-78.002096,Chaoboridae,1
WEEK_2,MSHN_3,40.94993,-78.002096,Aedes,1
WEEK_2,MSHN_3,40.94993,-78.002096,Aedes,1
WEEK_2,MSHN_3,40.94993,-78.002096,Aedes,1
WEEK_2,MSHN_3,40.94993,-78.002096,Aedes,1
WEEK_2,MSHN_3,40.94993,-78.002096,Aedes,1
WEEK_2,MSHN_3,40.94993,-78.002096,Aedes,1
WEEK_2,MSHN_3,40.94993,-78.002096,Limnephilus,1
WEEK_2,MSHN_2,40.93583,-78.032284,Limnephilus,1
WEEK_2,MSHN_1,40.84595,-78.097878,Limnephilus,1
WEEK_2,MSHN_1,40.84595,-78.097878,Limnephilus,1
WEEK_2,MSHN_2,40.93583,-78.032284,Hydroporinae,1
WEEK_2,MSHN_2,40.93583,-78.032284,Limnephilus,1
WEEK_2,MSHN_2,40.93583,-78.032284,Limnephilus,1
WEEK_2,MSHN_2,40.93583,-78.032284,Limnephilus,1
WEEK_2,MSHN_2,40.93583,-78.032284,Limnephilus,1
WEEK_2,MSHN_2,40.93583,-78.032284,Limnephilus,1
WEEK_2,MSHN_3,40.94993,-78.002096,Limnephilus,1
WEEK_2,MSHN_3,40.94993,-78.002096,Limnephilus,1
WEEK_2,MSHN_3,40.94993,-78.002096,Limnephilus,1
WEEK_2,MSHN_3,40.94993,-78.002096,Limnephilus,1
WEEK_2,MSHN_3,40.94993,-78.002096,Limnephilus,1
WEEK_2,MSHN_3,40.94993,-78.002096,Limnephilus,1
WEEK_2,MSHN_3,40.94993,-78.002096,Limnephilus,1
WEEK_2,MSHN_3,40.94993,-78.002096,Limnephilus,1
WEEK_2,MSHN_3,40.94993,-78.002096,Limnephilus,1
WEEK_2,MSHN_3,40.94993,-78.002096,Limnephilus,1
WEEK_2,MSHN_3,40.94993,-78.002096,Limnephilus,1
WEEK_2,MSHN_3,40.94993,-78.002096,Limnephilus,1
WEEK_2,MSHN_3,40.94993,-78.002096,Limnephilus,1
WEEK_2,MSHN_3,40.94993,-78.002096,Limnephilus,1
WEEK_2,MSHN_3,40.94993,-78.002096,Limnephilus,1
WEEK_2,MSHN_3,40.94993,-78.002096,Culex,1
WEEK_2,MSHN_3,40.94993,-78.002096,Aedes,1
WEEK_2,MSHN_3,40.94993,-78.002096,Aedes,1
WEEK_2,MSHN_1,40.84595,-78.097878,Oligochaeta,12
WEEK_2,MSHN_2,40.93583,-78.032284,Oligochaeta,48
WEEK_2,MSHN_3,40.94993,-78.002096,Oligochaeta,10
